onset	duration
4.02400654088706	24
34.0236293440685	12
54.0233770478517	4
64.0232509830967	16
88.0259887771681	16
118.022568895016	8
134.008371083997	12
152.022143437061	12
170.021917344071	16
192.021638455801	4
202.021512520034	20
232.02113327384	20
258.020802624058	8
272.003962915856	8
294.020350250881	24
324.003305120859	12
342.003080383874	16
364.002798682079	12
382.003100444097	4
392.00244366983	20
418.002125375904	12
436.001887673978	8
450.005495896097	4
460.001896707807	20
488.001224671025	4
498.001098155975	8
512.000920074061	12
530.00069152005	12
548.000462633092	24
578.016748163849	4
